,NAME,CATAGORY,ELEMENT,LEVEL,10mmPrice
,CLEAR QUARTZ,CORE,METAL,STANDARD,
,Smoky Quartz,CORE,EARTH,STANDARD,
,BLACK Obsidian,CORE,WATER,STANDARD,
,SLIVER Obsidian,CORE,WATER,STANDARD,
,GOLDEN Obsidian,CORE,WATER,STANDARD,
,Black Agate,CORE,WATER,STANDARD,
,Red Agate,CORE,FIRE,PREMIUM,
,Nanhong Agate,CORE,FIRE,PREMIUM,
,Hetian Jade,CORE,WOOD,COLLECTOR,
,Nephrite Jade,CORE,WOOD,COLLECTOR,
,Jadeite,CORE,WOOD,COLLECTOR,
,Purple Jadeite,CORE,WOOD,COLLECTOR,
,Moss Agate,CORE,WOOD,STANDARD,
,Green Agate,CORE,,STANDARD,
,White Agate,CORE,,STANDARD,
,Yellow Agate,CORE,,STANDARD,
,Banded Agate,CORE,,STANDARD,
,Tigers Eye,CORE,EARTH,STANDARD,
,Blue Tigers Eye,CORE,WATER,STANDARD,
,RED Tigers Eye,CORE,FIRE,STANDARD,
,YELLOW Tigers Eye,CORE,EARTH,STANDARD,
,Goldstone,CORE,,STANDARD,
,Golden Rutilated Quartz,AMPLIFIER,METAL,PREMIUM,
,Green Rutilated Quartz,AMPLIFIER,WOOD,PREMIUM,
,Red Included Quartz,AMPLIFIER,FIRE,STANDARD,
,Green Phantom Quartz,AMPLIFIER,WOOD,PREMIUM,
,White Phantom Quartz,AMPLIFIER,METAL,STANDARD,
,Amethyst Phantom,AMPLIFIER,WATER,STANDARD,
,Titanium Quartz,AMPLIFIER,,COLLECTOR,
,Ruby,AMPLIFIER,FIRE,STANDARD,
,Sapphire,AMPLIFIER,WATER,STANDARD,
,Emerald,AMPLIFIER,WOOD,STANDARD,
,Chrysoberyl Cat Eye,AMPLIFIER,METAL,STANDARD,
,Aquamarine,AMPLIFIER,WATER,STANDARD,
,Blue Topaz,AMPLIFIER,WATER,STANDARD,
,Strawberry Quartz,AMPLIFIER,FIRE,STANDARD,
,Amethyst,BALANCE,WATER,STANDARD,
,Rose Quartz,BALANCE,FIRE,STANDARD,
,Citrine,BALANCE,METAL,STANDARD,
,Amazonite,BALANCE,WATER,STANDARD,
,Blue Apatite,BALANCE,,STANDARD,
,Labradorite,BALANCE,,STANDARD,
,Moonstone,BALANCE,,PREMIUM,
,Larimar,BALANCE,,PREMIUM,
,Lapis Lazuli,BALANCE,WATER,STANDARD,
,Malachite,BALANCE,WOOD,STANDARD,
,Prehnite,BALANCE,,STANDARD,
,Lepidolite,BALANCE,,STANDARD,
,Yellow Fluorite,BALANCE,,STANDARD,
,GREEN Fluorite,BALANCE,WOOD,STANDARD,
,Sunstone,BALANCE,,STANDARD,
,Rhodonite,BALANCE,,STANDARD,
,Pearl,CONNECTOR,WATER,PREMIUM,
,Conch Pearl,CONNECTOR,WATER,COLLECTOR,
,Amber,CONNECTOR,EARTH,PREMIUM,
,Beeswax Amber,CONNECTOR,,PREMIUM,
,Blue Chalcedony,CONNECTOR,WATER,STANDARD,
,Purple Chalcedony,CONNECTOR,FIRE,STANDARD,
,Blue Lace Agate,CONNECTOR,WATER,STANDARD,
,Blue Lace Stone,CONNECTOR,WATER,STANDARD,
,Carnelian,CONNECTOR,FIRE,STANDARD,
,Cherry Blossom Agate,CONNECTOR,FIRE,STANDARD,
,Kyanite,CONNECTOR,,STANDARD,
,Cinnabar,CONNECTOR,FIRE,STANDARD,
,Blood Drop Cordierite,CONNECTOR,,STANDARD,
,Gold Frozen Stone,CONNECTOR,,STANDARD,
,Gold Thread Jade,CONNECTOR,,STANDARD,
,White Pine Stone,CONNECTOR,,STANDARD,
,Mother of Pearl,CONNECTOR,,STANDARD,
,Petrified Wood,CONNECTOR,,STANDARD,
,Turquoise,CONNECTOR,,COLLECTOR,
,Hematite,CONNECTOR,,STANDARD,
